中国移动营销行来发展报告alink	王大姐，打字细心一点
营救同伴不成的胖达君，最后还砸了人家一下……	我看那熊专门弄死他…
长城上有些地方雪被风冲光了，有些地方很深。	活学教育通，成就你一生
各国手势的意思，收藏起来，以后出国旅游神马的可不要乱比划哦。	哪个2逼TM做的配色这谁看得见
一个人彻悟的程度，恰等于他所受痛苦的深度。——林语堂	这就是所谓的大彻大悟吗？
#今日面孔#据新华社英文报道：王-立-军被判处15年有期徒刑。	政治角力场的牺牲品
好吧，你们都是抢镜的高手！	最后一张，哈哈，海狸先森嘛？
没有你，良辰美景可与何人说。from《天使爱美丽》	今天电量终于100％了，这我就不焦虑了。
上帝啊，终于放暑假啦！	放个毛线，我的暑假只有补课补课再补课！
人的一生注定会遇到两个人，一个惊艳了时光，一个温柔了岁月。	惭愧！我一个也没遇到
我觉得，第一个遭到朝鲜核打击的国家将是中国。	很多年前就有这种担心；希望有生之年，这种事情不要发生
八十年代的北京大学。via画片集	那时候有那么白的肉色丝袜？或者是大白腿？
不要再卖弄风姿了！说的就是你！左一！	哎呀呀呀呀呀呀呀，好可爱
还有人在等半夜的球赛吗？	有，打算先打会小盹。2：30见。
我和我的小伙伴们都惊呆了！	这！不！科！学！。
想有七天的时间吃粽子嘛？阿狸这里有端午节放假攻略哦。	每次都让人家请假，哈哈
挤地铁1号线的女孩几们，安全起见，请先行服下避孕药。	昨天到北京，直到今天早晨坐一号线才觉得这里真的是北京。
钓那么多鱼干嘛捏？	都这么黑了，还用戴帽子吗？！
一幅感动了亿万人的漫画，感谢妈妈！	原来妈妈教的就是为了你以后可以好照顾她
陈寅恪的“恪”字，你发音成KE还是QUE？	00基本我听的几场报告会读以及我们老师都读que
我在民族文化宫恭候各位光临！	好！我就喜欢高大帅哥！
一位痛苦的父亲，在我家门上贴的纸！（IT坟墓）	不设wifi密码的邻居才是好邻居啊
在思考关于新版instagram，更适合发爱情片还是动作片？这是个问题	这二者有区别吗？！
【好东西】清洁厨房用品的10个绝妙招数。	用牙膏绝对是用盐好。不算价格了。牙膏你洗不干净你就喝薄荷水吧。
大大的陈年旧名片，你们感受一下	靠，我要得此神物放在风档前，也不会被差佬贴罚单了。
好吧，中国联通神补刀，微信被黑出翔了。	高级黑啊这是高级黑啊
一句话证明你看过《小时代》________alink	没有物质的爱情就是一盘沙！
茉莉花呀茉莉花，妈妈种的茉莉花，卡擦卡擦就没啦，bang。	这图明明是：哎呀小花你真好闻---让我咬一口---晕
上课玩微信摇一摇，摇到了班主任	上次查看附近的人看到了系指导员头像还那么风骚
你好怪蜀黍，我是小女孩！	你好怪蜀黍，我是小女孩
敬业的骗子。全家都被伺候了遍（转）	敬业的骗子'全家都给伺候了一遍。
【屌丝的24个特征你中了几枪？】alink	李宁361粉丝兼不喜欢拍照的平头路过
真正装逼的人是绝不屑于用“装逼”这种词的，必须用“装屄”。	那个字好多输入法都不支持，王总用的是哪个输入法？
很漂亮的小盆栽，也弄一排排！。	有时候幸福其实很简单
都说说，过年期间，你打算胖几斤？	我会不停的做饼干送人，自己靠劳动减肥
【每日一萌图】喵星人，矜持一点！图片来自imgur	hahahahahahahahahahahahaha
搜狐这期新闻专题设计的有创意啊。	雾雾雾雾北雾雾雾雾雾雾雾雾方雾雾雾雾
看到第一句，眼眶就湿了。	不咸不淡最好，真的，伪装无所谓
妇女节快乐。但，男士节是几月几号？	8月3号，等着放假发钱吧
一种很新奇的水果叫“哥伦比亚龙珠果”，有认识的不？「图转」	东北人称为：姑娘（niang三声念）
你不要走，太慢了，--给我滚！	别滚，给我滚滚滚滚滚滚滚滚滚滚滚滚滚。
杜普蕾、帕尔曼等五人的纪录片，难得啊。alink	上来就发现好东西。看来这假期是好开始。嘿嘿。
提问：天天聊的优势在哪儿？	天天聊聊每天聊整天
无事心不空，有事心不乱，大事心不畏，小事心不慢。	我空，乱，畏，慢全都有，你说咋办？
我不要只是生存，我要活得有意义。------《机器人总动员》	我不要只是生存，我想活得有意义
你有过这样穿衣的经历吗？你的长发还在吗？	哈哈，头发长的时候一直这么穿的
我叫俊介，现在我可是大明星哦！	这个，呃。铜铃般的大眼睛.
大家说说自己做过哪些板的板主吧。	novelshanxiwaterdistrict5digestdigestadmin
苏州，印象城试吃品尝，您有怎样的体会？	7月份的试吃预定都满了呀
如果你这些广告都看过，那么你真的老的可以了。alink	怀念小浣熊和柯达啊
从背影里看出绝对是个有故事的哥啊！	矮油，这都被你发现了
我多想跳，跳进你的河流。	我上岸了。是不是也该取消关注杜杜了
无论做什么，不努力，不坚持，再高的天分都无用。晚安。	这个夜晚美，不努力在高的天赋也没用。
经济像啤酒，没有泡沫不显繁荣，泡沫太多缺乏实质	那就得看倒啤酒的人的技术和心态了
二元一次方程都弱爆了。鸡兔同笼新算法。	现在才知道，原来我不懂数学···TOT
#无力吐槽#今天是除夕吗？不是！那你麻痹你庆祝啥？	信基督教的可以好好狂欢，不信的就洗洗睡吧。
这个很有意思，准备拍古灵精怪婚纱照的朋友们可以参考！	一生就一次，婚纱照一定特点鲜明，与众不同
这桌子碉堡了啊！绝对能够1V5啊！	这桌子现在有出售吗？
公务员考试常识40000题，有空看看，增加点知识面。	转吧。需要的看吧。
主人不要拦我。我要跟他拼了！	艾玛，这素啥品种？喜欢大的
图解资产管理行业的各职业生涯	这个实在是经典，建议置顶！
一个残疾人在走道上画的，刚画完，城管过来把他打跑了……	摆地摊的命，操中南海的心！
#315在行动#第一个目标是苹果。	研究了一晚上的八点二十可怜的苹果啊何润东其实是好样的
有其父必有其子，有其母必有其女。	我家咪咪生的没一个像它
英国BBC评出的人生50个必去圣地。有生之年，谁能全部走遍？	尼玛，塘山岭不算一个吗？
人类已经没法阻止印度电影了……（爆笑gif图）	哥、你拿枪指着人的动作好帅、
二十分钟内上减肥心得。	39分钟了，也许正在写长微博…等的估计都是胖子吧
所以到底是脆苹果党还是面苹果党？	我无所谓。脆的水多，甜，不过略硬。粉的口感还是可以的。
近年来，网络上的一些励志哥，哪一个会让你抓狂？（转	啊啊啊！看到最后一个我瞎彻底了！
一个素食主义者的午餐。	很健康哦，不过没有蛋白质呀，会不会胃亏肉？
胖纸唯一的好处就是人多的时候可以做副驾驶。（转）	所以很不安全所以还是减肥吧
圆珠笔下的小时代人物，看看你能认出几个！	是不是少了个简溪？
没什么比等待更难受，当你连自己在等什么都不知道的时候。	是，尤其怕等人！极无聊还焦急！
原来这是iPhone5没来的原因。(TechOrange)	我不想知道五袋苹果怎么来的，就是想知道它怎么没滴
【友·父亲】祝愿天下所有父亲健康、快乐！alink	祝愿天下所有父亲父亲节快乐！
诚实是我们不能逾越的底线！alink	对谁诚实？这是一个问！
FIFA11或WinningEleven2011？你会挑那一款？	首选WinningEleven2011！但FIFA11同样想要。
一场秋雨一场寒，吃胖点好过冬。	我是营养不良，没钱吃胖…
玩过的童鞋请转发。	哈哈每次一玩这个我就很紧张
有大量网友反映：装有qq电脑管家的电脑重新开机后无法上网。	肯定是Q和360两个都装引起的。我用Q管家就没事。
丝瓜烧毛豆，是极少数味道还和小时候一模一样的家常菜。	这两样竟然可以混搭
下周请关注苹果汇的有奖活动	亲爱的我要！shuffle！
小撒，大过年的，要和家属在一起	小撒，老章在喊你回家吃饺子呢。
连厉以宁的建言也删除，这国家一定病了！	病入膏盲了吧。删除它的，仅是可爱听话的小秘书
新浪娱乐6月20日07-12时要闻回顾alink	这种广告文字链功能不错比单纯一个链接好多了。
孙悟空神马的弱爆了。	应该是字幕错误或者口误吧
新的一年刚刚开始，12星座都在想神马，超准，吓我一跳！	嘿嘿！还是goodgoodstudy，daydayup！
不好意思，今天睡过头了，迟到了。	下雪啦下雪啦2012最后一场雪呵呵
教老外打麻将的教程。	==我突然觉得，扑克算什么里格毛毛
有一天，你回到家门口，看到这一幕，你会先干嘛？	晚上回家又得做噩梦
网编专用键盘……大家自取	计算机系学生的最爱
我随迈克·马伦将军参观中国人民解放军在浙江的基地。	假洋鬼子？混血儿？汉奸？还是合法间谍？
路虎用了奇瑞的发动机。元芳，你怎么看？	国人很多都不相信，可见。
忽然想起来，投毒，是贵大清国格格闺训呀。	祖国母亲，请记住！您还有一个女儿，叫朱令！
如果你还记得这部神作，说明你已经老了。「转」	晕，我不知道，也不记得，可是我还是老了
龙年到了！祝各位朋友龙年吉祥！心想事成！你我的快乐时代！	新年快乐，恭喜发财
居居居居居然下班了？狂喜！猛收！暴走！怒睡！	宝哥，听说你是个网管！而且专上夜班！
老了，讲课站三个小时，腰疼。	咋不给老师搬个椅子
日本最新创意红绿灯。！	好帅气，这样应该会大大的减少闯红灯的人
上了N年语文课的孩纸谁都伤不起。	尼玛这个我早就说过了。人家写的人还没想那么多啊…
那些年，那些个使人难忘而又充满辛酸的动人故事。	补上羊与狗的风筝原图
#午间分享#每一部大片的海报背后都有一个宿敌。	难怪“山寨”的英文翻译是“madeinchina”
那些年，未来遥远得没有形状，我们单纯得没有烦恼。	那些年，未来遥远得没有形状，我们单纯得没有烦恼。
看一次笑一次。现在男女交往路线图。	困了，看了笑了，精神了
翻到这张照片，想定做一件旗袍，不知道北京哪里比较好？	从回复来看，好火药的真人比她的发言更有吸引力
世界上有些离别，是真的离别。有些再见，是再也不见。	父亲走得那样突然，我们连告别都没有……
一张图告诉你为什么大陆剧找不到感觉。	イタズラなkissなぁ。ははははは
0805话题：你有没有动手制作或改装过什么东西，省钱且创意无限	vampireweekend！小飞你们每天都能给我带来点惊喜……
越小越要有情调，超强的36平单身公寓！	亲是攀枝花的？我有好多朋友都是攀枝花的！
上Gmail，上到我哭！世间最远的距离，不是生与死，而是404。	这是国家宏观调控！
测测你最假的一面是什么？超准！（转）#小智慧#	只有至交好友才会了解我的古怪与疯狂还挺准
哈哈哈，甄嬛传到底是有多红。	哈哈，看来甄嬛传真的是火爆了啊
原来陈冠希和汤唯都是今天生日。汤唯大一岁。	这一对也是天平座的！
永远别说「永远」，万物皆有改变。（你用英文翻译一下？）	Neversay""never""，everythinghaschanged
1849也许是我苦苦等待了6年的底部……	说到底，李大霄人品没有底
论“为什么范冰冰能成为国际天后而林心如不行”	我笑了#热门微博#alink
一想到明天要上班就没心情吃吃喝喝了。同感的转起	老板好多放我一天假，后天上班
总有个把蠢货是你不能抛弃的朋友。	嘻嘻，我是那个蠢货。我要努力聪明，然后不抛弃你。
现在终于能放下工作，拥抱我的好梦去。各位观众晚安！	现在的明星都不用iphone了
和Jacob吃饭顺便卖一下代言手表广告！	丹哥好像喝了很多酒啊，面红红。
我还是喜欢擦地，洗澡，洗衣服这样过一天。	神马是节奏：哟哟，哟，哟哟
给美国人当爸，为中国人做政协委员。	当官的有钱的都把子女送出去了，呵呵！
看一下你在中国属于哪个阶层	涨姿势了。有贵人帮我升两级吗？
没有旅行的生活，只能叫生存。	现在，我就喜欢生存。
离开北京的雾，来看台北的雨。≪痞子英雄≫台北宣传中…	啥时候回来看看青岛的雪？
盛典还给叶茂中这厮颁了个奖奖	恭喜叶爷啊····哈哈····
【科普】正确的搂抱猫咪方式。快来学习一下吧(转)	用错误的方式关爱了曾经的五只猫
都说婚姻是爱情的坟墓，更可悲的是，小三还要来盗墓……	哈，那就不要结婚。
这个面具色魔当年吓到了多少人？	我我我被吓吓死！超恐怖！
全球票房过亿电影（喜剧片）。无聊时一部一部看！（转）	全球票房过亿电影（喜剧片）
央视连线”前方记者王石”发回的最新情况alink	不是她淡定，而是那什么打多了，面部僵了！眼大无神非她莫属！
出发去辽宁，这里下雪了	据说辽宁雪最近嗷嗷大
弹开抢镜的妞。还是本娘娘最娇。（内容源自网络）	招淘宝兼职详情可私信。
你有拖延症吗？我暑假就想治拖延症，拖到现在也没开始治。	我该洗的瓶子堆得像一盘棋子。我决定，还是。先看一会围脖
当时我就震惊了！你想过用Facetime监视厨房炖汤进展吗？！	不小心太热了烧爆了我看你是多蛋疼==
#Lens夜话#你看完的第一本长篇小说是_____________________？	长袜子皮皮不算就绿野仙踪……
话说哥们也曾经瘦过……	除了头发，哪都没变。
#技术贴#超级实用的键盘快捷操作！开始练习吧！	太长了，还是鼠标吧
男人与女人起床对比图。看完后，有没有笑出牙龈。	还好，我是个懒女人
北京空气超150，室内跑步。	早上好'老子打针你跑步，还是你有健康的生活方式啊
月下桃花肥，想送那个谁。电话打半天，她却总不回。	您学鲁提辖，倒拔一树花.佳人无音讯，还得去出家.
iOS6上面的地图就是一个噩梦。	同感呀！非常大的噩梦！
传输我的数据、HERE地图、诺基亚音乐有更新。嗯，顺带测试尾巴。	尾巴被狗吃了啊！渣浪
在KTV开个包间。然后吃饭看球吹牛哈哈哈哈哈哈	为什么你没去解说呢？
据说是某中学楼梯。	就是重庆合川中学的楼梯哈哈哈
#看图猜电影#这是哪部电影？	调音师！超爱这部短片
不知道鸭子为什么总喜欢把头藏进水里我在:alink	在湖里面找吃的吧。
我在中8楼(中关村店)：带小小来吃虫子alink	给我们介绍下品种和口味吧
没有西瓜的夏天是不完整的！	西瓜是不能多吃的，要注意
“你帮帮我，你帮帮我，你是北京的大学者。""	给聂树斌平反，赔聂家1000万，高法官定罪服刑.法官是杀人犯.
我的那些不上微博的朋友们明显比我们要乐观啊	那是不现实的乐观主义
今天应邀和我老公一起来到央视二套《对话》栏目现场，很开心。	默多克太牛逼了，你真幸运。
我这个时间吃东西，应该算是下午茶还是午餐呢？	时间上算午餐，看品种是下午茶。
车队去了机场，准备好欢迎大大大老板来北京。	公司一半以上人去了国家大剧院，迎接这一季的发布会！
我很喜欢你，你跟那些漂亮的女孩不一样。	因为是可爱的男孩子
请用一句话证明你参加过高考：____________________。	不想种地就要考上大学！
妈，给我点钱！alink	omg，你长这样？我以为你只是个视频播放器。
人生就是一次无法重复的选择。——苏格拉底。早安。	missu。我忙昏了天冷，不要感冒喔
宫崎骏的手绘景稿，大师就是大师，超赞啊！	千与千寻，大爱宫崎骏！
掀开海浪，看看底下是什么？	。环境保护啊。童靴们。
人生有这样的朋友就值了。「转」	台湾大众银行的广告，梦骑士，非常动人⊙▽⊙
大家的早点都吃的什么？alink	姑姑手工做的包子。
第一眼看到它，你是什么表情？「转」	嘚瑟的小短腿，这是什么短片的GIF？没看过这么短腿的马儿阿
岁月是把杀猪刀！社会太残酷了。	的确是太恐怖了，希望我越来越漂亮
日久不一定生情，但必定见人心，时间会说出真话。	就是！有些人，认识她越久，就越不认识她。
舱门已关闭，等会儿大家水里见。	我的“苍”门怎么就关不了呢
狐狸就是狐狸，不知不觉就被它勾引到了。	这是狐狸？好可爱！
现实中，我们用真名说假话。网络中，我们用假名说真话。	不要怪罪社会太可怕，只是因为每个人都想靠装备来显得强大。
自娱自乐是一种生活态度。	图片很形象颇有感触.。
一本80年代政治改革的经验总结之作(转)alink	原来是香港出版，大陆禁止发行的
无限空间书架墙设计，还有多少书容不下。	打扫卫生的会发飙的
像孩子一样，真诚。像朝阳一样，温暖。	只能接受的是现实，可以改变的是人生。
敢不敢说出你的手机来电铃声？	NarutoMainThemem火影插曲
婴儿在父母中间的销魂睡姿，真相了有木有？！（转）#小趣味#	其实一般惨的都是妈妈
谁敢横刀立马，唯有地产大将军	而且是100%融资满仓，
带你走进樱花的国度。	带你走进樱花的国度
“复兴有三种：普通复兴，文艺复兴和中华民族的伟大复兴。”	，它用了2x的位子了。
每天进步一点点，每天退步一点点。一年以后你会发现差距是1260倍	没有坚持住学习，要反省下
不断的发现以前的自己是个傻逼，这就是人生。	现在依然傻逼，这可如何是好
这两天北京降温，感受到了寒风刺骨。	在猴子的花果山也感受到了，摄氏13度。
水上水下的差别！运动俱乐部广告。	一目了然，简单明了
一生的灵魂伴侣，就是那个你在他面前能做最真实的自己的人。	bethemost""you""thatyoucanpossiblybe
【心理学小故事】分享三个小故事，或许对你有所启发！「转」	是真的，这些人我不曾怀疑。
话说忒久没休假了。该去哪儿溜一圈涅？	whereeveryougo，thenumberofpeploeisthepoint.
微笑着容易过一天明天是未拆封的礼物	明天咱等着嵩哥的新歌《胡萝卜须》哈哈
新书封面（征求意见稿）	短线牛股，加仓跟进，精准买入！
#NBA酷图#这回钓的鱼真大！	拿霍华德当的鱼饵吧
年纪轻轻的，干什么不好，非要玩战争？	玩死自个儿，朝鲜老百姓就自由了
你就是你，世界上独一无二的你，从来没有人可以取代的你。	憧憬，永远在窗外，不怕你摆拍很美。
#微博名人#82版西游记，八戒和沙僧分不出来呀	妖怪怎么长得这么像人呢？
春困！今晚又推迟到十点播！	多晚也不错过看你主持的机会
你再不爱我我可报警了。	你喊啊喊破喉咙也没人来爱你的！
迅速流行，迅速厌倦——现在看到鸟叔和鸟叔模仿秀已生厌感。	哈哈，流行的久了，有的是经典有得让人心生厌恶
WWF公益广告：时光若能逆转，你会为它们做些什么？	但请先告诉我，我能做什么？
元旦前在普吉岛的朋友，有机会喝一杯哦。	打算春节去呢，看来要错身而过了
女生为什么要不停的买衣服呢？是酱紫的童鞋自觉转发。	这，这，这不就是在下吗？
最近老跟帅哥配戏。苦啊。	美女配帅哥那是应该的支持老乡。
看完此图就知道盐为啥这么紧俏了	奸商+无良zf+愚民=抢盐
所谓睡货，可用八个字概括：春困，夏乏，秋盹，冬眠。	每个人的身边都有一个睡货，你想到了谁？
新浪微博帐户突破4亿，但是我却感觉不到活跃。	小互。你有点矫情了
#祭#”春风再美也比不上你的笑”……安。	今天是邓丽君的纪念日？
献给一直在默默保护着孩子们的小熊。	和我的玩偶集团。猫咪，狗狗，等等。
这东西在你老家叫什么？	广东珠三角叫“马蒂”
别气馁，我们回圣城再战！	帮老板卖多滴票啦，斯大爷也不会翻毛枪。
没有受过伤的人才会讥笑别人身上的伤痕	没有受过伤的人才会讥笑别人身上的伤痕
你猜我会变怎样？答对有奖励哦！	口袋APP时刻装在口袋里
【星座配对概率表】低于60的不及格哦！(内容来源于网络)	我天蝎只和水瓶不及格
成熟的最大好处是：以前得不到的东西，现在不想要了。	Change。不想谈恋爱了。一个人挺好。
一个萌点笑点很怪的小漫画。「图via大象ROV」	噗==我就觉的形状怪怪的==
【五一假期怎么过】还没想好五一怎么过的朋友看此条微博评论。	天天看AV，我也会有审美疲劳。
史上最拉风的椅子。	这个是可以坐的，几年前报道过，貌似是台湾人发明的
赌一个杜蕾斯小铁盒的，你肯定没玩通过这个游戏。	魔界村啊，铁盒拿来。
人生的追求，要活得比以前好，不是活得比别人好。	你的旅途请让风景环绕
【每日一萌图】小企鹅走路，就是这个感觉……图片来自imgur	气候变暖，企鹅搬家开始！货车快来…
#推遍夜话#用三句话描述三体三部曲，你会选哪三句话？	哎哟，不错哦，这个吊。
转述中国官方说法：诺贝尔文学奖像个笑话。	鄙视你，立刻拉黑。
所有的好友都住在同一幢公寓里，这是我的梦想。（转）	看上去很美，不过这么做的肯定是SB。
巴楚恐怖事件令人发指alink	致敬，尊重每一个生命。
小丸子的包装，国内有就好了	什么时候才能有哦！
用一个地名证明，你在杭州生活过。我先来：卖鱼桥	白泽弄呵呵，老杭州才知道。
长款连衣裙让人想开始一场悠闲的约会！alink	好喜欢左上的裙子呀
中华民国总统府网站：alink（免翻墙）。	看看总统的每日行程
易中天真身出没，谁与争锋	易中天老师真身出没，大张伟还不赶紧退下
《回忆我的几个极品外教》	臭脚为什么有市场？因为有人捧啊！
这样穿衣服，你学不会的……	这样穿衣服，你学不会的……
疯狂电视台。明天又加演四天六场，大家辛苦开心的彩排啊。	赵哥，你说你大学毕业后是不是也该考虑找个伴了啊
为什么我觉得蚊子是一种特别SB的生物	哈哈，就是就是，傻傻的
我打完篮球，就看电视转播CBA。你看吗？	在北大人民医院呆着呢…来北京看病了…都一个星期没电视看了…
我家的巧克力你们稀饭吗？	我的狗狗也叫巧克力。是腊肠
中国的俗人太多了。一个配得上我的都没有……	同意！舟舟这回证据牵强
忽然想念呼和浩特老绥远烧麦。	还有焙子。很好吃。
公司安静了，自己写字玩吧。	不错。不会写毛笔字的飘过
我有一个很棒的妈妈，我爱她。	ilovemymomsooooooomuch
【娱乐一下】后悔药，每人限购一瓶，想要的转走。	至于副作用嘛，请参考《蝴蝶效应》
咱也该换辆四轮的？我在:alink	目测是14新款大切。
时光如水，总是无言。若你安好，便是晴天。	你若安好、便是晴天
在平常的照片也可以变成一幅有创意的作品。【JohnThörnqvist·图】	创作出来的图片怎么都是没睡醒的灰蒙蒙
好兄弟就是老了也还要一起打游戏！「转」	好姐妹就是老了也要一起去逛街
快来看趴趴熊。这货怎么可以懒成这样啊！「转」	我家的猫也是这样的，经常睡得四脚朝天。
一语道破天机啊！确实，读书不多，想的太多！（转）	谨遵教诲，我记住这句话了。谢！
这个点钟有点饿了，来个草莓布丁吧。	吃屎啊！还不睡觉！企鹅！
李克强：靠刺激政策、政府直接投资实现今年目标空间已不大.	想不出，不靠疯狂印钱以外还能有什么
据说，你流出来的眼泪，是你脑子里进的水。	哈哈，好多年都没哭了
各位博友、朋友、同事：恭祝各位2013新年好！巴松狼王敬贺	2013的第一个祝福送给狼王！新年快乐！
我总是在安静的时候想得很多，然后难受很久。	我们总是在安静的时候想得很多，然后难受很久。
#早安微话题#酒后吐真言，你酒后说过的真心话是？	我喜欢你，祝你幸福，好煞笔
最烦嚣张浊世，且渡简净一生。心中花开花落，不愿与人纷争。	喜欢！心中花开花落，不愿与人纷争。
成熟的最大好处是：以前得不到的东西，现在就不想要了。	现在珍惜的，以后也会不想要了对吗！
我想不管这个世界如何变化，人们还是愿意相信美好。	嗯嗯，愿意相信美好
#日系写真#已为人父的瑛太。	到目前为止看着最有FEEL最欣赏的日本男优！瑛太！Lastfriend！
这才叫镇定。注意看雨刷。	会不会腿被夹住了，否则难以置信啊
未曾尽力之前，不要轻易求助于他人。晚安。	尽了全力事情还没有成功那也就代表结束了，再求助于他人何用？
可贵的情谊，并不只局限在人类之间！	有时候，动物的情感比人来的更真切更丰富。
【坐地日行八万里/巡天遥看一千河】竹心草之荐之alink	诚谢好友国网美馆之转赏！
【趣漫画】人生最悲伤的事，莫过于……图片来自imgur	不经历风雨，怎能见彩虹。
网易门户事业部加薪内部通知邮件。	那其他门户或者大型网站是不是也该跟风啊。墙裂要求跟风。
摇摆的床，躺在上面是何等惬意。	这东西睡着那叫一个恶心
有一种爱，只是在你背后默默为你撑起一把伞。	还有一种爱，淋着雨一起在穿行在人流中。
90后会做饭的，请举手！	soeasy。别老小瞧90后好吧
【科普帖】4分钟，让你了解无线网骗术。alink	不知道国内会不会有。
救命！谁来收了这位翻译大神。「转」	虽然是后期p的但我还是笑了。
一张图告诉你为毛央视315要黑苹果。	央视吃多了就变色了！
从此——你的世界再无“困难”二字！（转）	嗯！无困难，但，缺钱算困难不
最好的地方，是没去过的地方，最好的时光，是回不来的时光。	最好的是青春，是失去了的青春！
中国篮球，你有对待基德的耐心吗？alink	匹克给了你多少，一天到晚就蜜基德。
当年相知未回首，空叹年华似水流。	摇得时光悠悠过，荡走岁月苦与愁.借问船家欲何往，艄公曲唤山河秀.
“我的体重是我自己的事。”“球状也是身材！”——《加菲猫》	严重赞同.球状麻是身材撒.``
有这样的男朋友就嫁了吧。99朵烟熏三文鱼打造的玫瑰花束	说好的芥末巧克力呢
“生活的压力和生命的尊严，哪一个重要？”	郑智化歌词呗？“生存和面子问题哪个重要”
一张很现实的图，如果你认为对就转发下！（图片来自网络）	真心别放这种图让人桑心
瞧瞧，中华民国行政区域及领土纠纷。	好好的一片桑叶，变成了一只鸡
新年快乐，来领龙年祝福啊！	新年快乐啦。同祝哈哈
【100万人民币在世界各地能买到啥样的房子】	你应该放张广州的。
小道消息：某知名电商公司开始裁员，300-500人左右。	大嘴Fenng又有八卦了。
龙年将至。祝大家万事如意。	借老板吉言，大家龙年吉祥。
想不开，就不想；得不到，就不要；难为自己，何必呢？	不要刻意，顺其自然。为难自己，是痛苦的源泉。
【调整后的新浪组织架构】大图：alink	新浪组织架构，腾讯科技制表？在搞竞品分析？
祝前线及后方所有符合条件的女战士3.8节快乐！	安久粑粑辛苦了！加油
＂把生命的每一天当作最后一天来过，保持对生命的敏感。＂早安	是啊！如果能这样，那即使末日真的来临，我们也能坦然面对！
快看，对面那货没穿衣糊！	哟那两只看得可真入迷呀
方大同做客，大家有什么问题可以发过来！	北京演唱会有请嘉宾吗？愿不愿意请张靓颖作嘉宾？
朋友们早上好，今天空气质量。	大老，你太早了。老人家不宜起太早！
总有一张图片，会触动你的内心。	有时候人还不如畜生
喜欢寿司的童鞋请自觉举手！。	这诱惑，，无法抵御
大家好，我们是“杀猪刀联盟”！我们的口号是：代表时间消灭你。	我不要说我的莱昂纳多啊，哈哈哈
芙蓉姐姐：看来真得学游泳了！	芙蓉姐姐今天很可爱。
【禅意】一花一世界，一叶一菩提，一砂一极乐，一笑一尘缘。	【禅意】一花一世界，一叶一菩提，一砂一极乐，一笑一尘缘。
李敖老师敦南金兰书房一隅。	要是有这样的书房我也一周六天不回家！
我这种壮汉，一穿细高跟鞋，就好像在欺凌强暴它。	第一次总有点不舒服，习惯了就嗨皮啦！
中国速度：30层酒店，15天的变化。	光鲜的速度，豆腐渣的工程太多了
站在爱情顶端的女王大人。	哈哈哈哈哈哈哈。做了三年纪律委员没做过波😏😏
你有睡觉的时候不敢把手伸出的“床边强迫症”么？	会麻掉当然有强迫症啦
“来，给爷笑一个！”“好哒！”	哈哈，来，给爷笑一个！你不笑？爷给你笑一个！
盘点令人发指的十大神镜。	真玩家只看参数不看价格不求最好但求最贵
60分万岁万岁万万岁！#丁一晨每日一画#	哈哈哈笑死我了不得不转阿
#越夜越JD#你觉得最容易网购成瘾的星座是________？	巨蟹座。因为巨蟹座最居家了，，连门都不爱出。只能网购
其实，斗力，斗智慧，斗胸怀，我们都能赢。	中国人最牛啦，谁也别想跟我们斗，有谁比我们狠
来银行办事，坐下后，听旁边大婶说：＂你好，我死期到了＂。	抄袭别人的段子已成习惯了，哥
我像一只小虫，在夕阳里蠕动。	动比不动好放平心态
如果路口红灯改造成这样，还有人敢闯不？	前面的车刚过了一半红灯亮起来了怎么办。
TomCruise（汤姆·克鲁斯）——1985年的《黑魔王》	不解释把你女儿嫁我
其实呢，我都有点不好意思出门，大伙都说我太帅了！。	的确····太拉轰！。
在我们心里，你已经砍下了三双	KD威武！韦少无可替代！
捡肥皂。有木有感受到世界满满的恶意（转）	猛力一插！fuck！哇。爽。
甭管烤得怎么样，反正每次看到面包出炉，我都挺开心的	能不能在微博上给我们分享几个方子
把数码产品带上床会让你失眠！	每天在床上玩手机玩到累，一闭眼就睡着了
纽约广告节金奖——聆听音乐，感受生活！alink	至到最后才知道是什么意思，音乐很不错
重庆，热得够劲！顶着38度高温去吃火锅定很酷！	什么时候能参加一下你的影迷会.
闷雷阵阵，闪电频频。如果这是摩斯电码，老天爷，你想说什么？	啥也不说了，越来越like你了
快讯：诺基亚西门子宣布裁员17000人，作为全球重组计划的一部分。	西门子？和诺记的合资公司？
放在你收藏夹里很久一直都不舍得删的网址是____？	没错，IE的收藏夹的确很烂！
长沙。除了下雨、会做电视外，你还会神马？	再过一两个月会热死你
【可以带着功利心修行吗】alink	心有多大，功德就能容多少，无限大，便能容无量功德
古城说旧梦，荒地刈新草。云起在天际，平然却静好。	那时年龄不大，农忙都是帮忙，好恐怖啊！。
选一种姿态，让自己活得无可替代。早安大家。	赶紧下场雨吧！我快中暑了。
#315晚会#央视315晚会国美接下来也将出场	哎，生活怎么美呢？
校内上看到个某大学的孩子为防舍友投毒………	话说，金鱼拉便便了怎么办？喝了？
刚反覆的看已剪好的MV发现了一个问题。	老大说话果然一直文人气质十足----朦胧啊！
以前这个diao说出来会脏了嘴，现在很多人嘴里随便diao了。	偶全部中枪(⊙o⊙)哇
一个人也要好好吃早餐，对不对！	热爱旅游户外，阳光的本职热爱生活，关注快乐就关注我吧
